product,sku,decoration,qty_break,price_per_unit_cad
ATC Everyday Cotton Tee,ATC1000,screen_print_1color,1,66.25
ATC Everyday Cotton Tee,ATC1000,screen_print_1color,2,40.50
ATC Everyday Cotton Tee,ATC1000,screen_print_1color,3,31.92
ATC Everyday Cotton Tee,ATC1000,screen_print_1color,5,25.04
ATC Everyday Cotton Tee,ATC1000,screen_print_1color,10,19.89
ATC Everyday Cotton Tee,ATC1000,screen_print_1color,12,19.04
ATC Everyday Cotton Tee,ATC1000,screen_print_1color,15,18.18
ATC Everyday Cotton Tee,ATC1000,screen_print_1color,20,16.31
ATC Everyday Cotton Tee,ATC1000,screen_print_1color,25,14.85
ATC Everyday Cotton Tee,ATC1000,screen_print_1color,30,13.86
ATC Everyday Cotton Tee,ATC1000,screen_print_1color,40,12.60
ATC Everyday Cotton Tee,ATC1000,screen_print_1color,50,11.82
ATC Everyday Cotton Tee,ATC1000,screen_print_1color,72,10.83
ATC Everyday Cotton Tee,ATC1000,screen_print_1color,75,10.74
ATC Everyday Cotton Tee,ATC1000,screen_print_1color,100,10.14
ATC Everyday Cotton Tee,ATC1000,screen_print_1color,144,9.72
ATC Everyday Cotton Tee,ATC1000,screen_print_1color,150,9.67
ATC Everyday Cotton Tee,ATC1000,screen_print_1color,200,9.45
ATC Everyday Cotton Tee,ATC1000,screen_print_1color,250,9.14
ATC Everyday Cotton Tee,ATC1000,screen_print_1color,300,8.89
ATC Everyday Cotton Tee,ATC1000,screen_print_1color,350,8.66
ATC Everyday Cotton Tee,ATC1000,screen_print_1color,500,8.09
ATC Everyday Cotton Tee,ATC1000,screen_print_1color,750,7.69
ATC Everyday Cotton Tee,ATC1000,screen_print_1color,1000,7.65
Gildan Heavy Blend Hoodie,GILDAN18500,screen_print_1color,1,81.87
Gildan Heavy Blend Hoodie,GILDAN18500,screen_print_1color,2,56.11
Gildan Heavy Blend Hoodie,GILDAN18500,screen_print_1color,3,47.52
Gildan Heavy Blend Hoodie,GILDAN18500,screen_print_1color,5,40.66
Gildan Heavy Blend Hoodie,GILDAN18500,screen_print_1color,10,35.51
Gildan Heavy Blend Hoodie,GILDAN18500,screen_print_1color,12,34.65
Gildan Heavy Blend Hoodie,GILDAN18500,screen_print_1color,15,33.79
Gildan Heavy Blend Hoodie,GILDAN18500,screen_print_1color,20,31.93
Gildan Heavy Blend Hoodie,GILDAN18500,screen_print_1color,25,30.46
Gildan Heavy Blend Hoodie,GILDAN18500,screen_print_1color,30,29.43
